X,Y,countyname,depth_to_water,town,date,ID,countycode,township,year,year2,depth
-101.32004,39.48562,Thomas,-102.72,Brewster NE,1984/01/11,392903101190501,193,6,"1984","1984",143-72
-100.802161,39.710432,Rawlins,-10.87,Achilles,1984/01/10,394236100480601,153,4,"1984","1984",71-0
-100.199413,39.584164,Decatur,-24.1,Clayton SW,1984/01/05,393505100115901,39,5,"1984","1984",71-0
-100.199413,39.584164,Decatur,-23.58,Clayton SW,1984/12/10,393505100115901,39,5,"1984","1984",71-0
-102.041461,39.505275,Sherman,-201.9,Bonny Reservoir SE,1984/01/11,393020102022701,181,6,"1984","1984",215-144
-100.761827,39.562234,Thomas,-115.6,Achilles SE,1984/01/10,393348100454501,193,6,"1984","1984",143-72
-101.606146,39.975444,Cheyenne,-13.9,MC DONALD NW,1984/01/11,395829101362501,23,1,"1984","1984",71-0
-100.529723,39.813445,Decatur,-25.32,OBERLIN,1984/01/05,394846100314901,39,3,"1984","1984",71-0
-100.529723,39.813445,Decatur,-24.58,OBERLIN,1984/04/09,394846100314901,39,3,"1984","1984",71-0
-100.529723,39.813445,Decatur,-23.58,OBERLIN,1984/06/04,394846100314901,39,3,"1984","1984",71-0
-100.529723,39.813445,Decatur,-26.13,OBERLIN,1984/09/13,394846100314901,39,3,"1984","1984",71-0
-100.529723,39.813445,Decatur,-24.44,OBERLIN,1984/12/10,394846100314901,39,3,"1984","1984",71-0
-100.292057,39.761785,Decatur,-125.87,KANONA SE,1984/01/05,394544100172202,39,3,"1984","1984",143-72
-100.292057,39.761785,Decatur,-125.75,KANONA SE,1984/12/10,394544100172202,39,3,"1984","1984",143-72
-101.296322,39.768262,Rawlins,-176.17,MCDONALD SE,1984/01/24,394606101175701,153,3,"1984","1984",215-144
-100.610019,39.054659,Gove,-104,GRINNELL SE,1984/07/10,390310100362801,63,11,"1984","1984",143-72
-101.302439,37.050476,Stevens,-124.65,HUGOTON SE,1984/03/14,370304101180901,189,34,"1984","1984",143-72
-101.466546,37.160044,Stevens,-164.25,FETERITA,1984/01/04,370937101275401,189,33,"1984","1984",215-144
-101.466546,37.160044,Stevens,-161.41,FETERITA,1984/04/17,370937101275401,189,33,"1984","1984",215-144
-101.466546,37.160044,Stevens,-159.19,FETERITA,1984/11/06,370937101275401,189,33,"1984","1984",215-144
-100.392625,37.489343,Gray,-121.94,Meade NW,1984/04/12,372922100232701,69,29,"1984","1984",143-72
-100.392625,37.489343,Gray,-119.66,Meade NW,1984/11/01,372922100232701,69,29,"1984","1984",143-72
-100.406626,37.443653,Meade,-136.72,Meade NW,1984/01/11,372638100241701,119,30,"1984","1984",143-72
-101.713843,37.279753,Morton,-113.27,SHORE AIRPORT SW,1984/02/22,371649101424801,129,32,"1984","1984",143-72
